ΚΩΔΙΚΟΣ,ΕΠΟΠΤΕΥΩΝ ΦΟΡΕΑΣ,ΔΙΑΚΡΙΤΙΚΟΣ ΤΙΤΛΟΣ ,ΙΔΙΟΚΤΗΤΗΣ,ΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ,ΤΑΧΥΔΡΟΜΙΚΗ Δ/ΝΣΗ ΣΧΟΛΕΙΟΥ ,"ΑΡΙΘ. ΑΠΟΦ. ΧΟΡΗΓ. ΑΡΧ. ΑΔΕΙΑΣ, ΦΕΚ ΔΗΜΟΣ.",ΠΑΡΑΤΗΡΗΣΕΙΣ/ ΜΕΤΑΒΟΛΕΣ / ΤΡΟΠΟΠΟΙΗΣΕΙΣ
7051081,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΡΑΜΠΑΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΑΡΑΜΠΑΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΑΡΑΜΠΑΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΠΑΝΔΙΩΝΟΣ 12 Τ.Κ. 11143 ΑΝΩ ΠΑΤΗΣΙΑ ΤΗΛ.: 210-2584147,"Φ2ΓΑ/149119/Δ5/14-10-2013,ΦΕΚ 632/Β/13-3-14",
7051083,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΟΡΡΕΣ ΕΜΜΑΝΟΥΗΛ,ΚΟΡΡΕΣ ΕΜΜΑΝΟΥΗΛ,ΚΟΡΡΕΣ ΕΜΜΑΝΟΥΗΛ,ΙΣΤΡΟΥ 22 Τ.Κ. 11142 ΡΙΖΟΥΠΟΛΗ ΤΗΛ:. 210-2585500,"Φ2ΓΒ/165319/Δ5/4-11-2013,ΦΕΚ 338/Β/13-2-14",ΤΡΟΠΟΠΟΙΗΣΗ 91100/Δ1/03-06-2016 (ΦΕΚ 1863/Β/24-06-2016
7051087,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΑΠΟΥΤΖΗ ΤΡΙΑΝΤΑΦΥΛΛΙΑ,ΣΑΠΟΥΤΖΗ ΤΡΙΑΝΤΑΦΥΛΛΙΑ,ΣΑΠΟΥΤΖΗ ΤΡΙΑΝΤΑΦΥΛΛΙΑ,ΠΑΣΙΤΕΛΟΥΣ 8 Τ.Κ. 11635 ΠΑΓΚΡΑΤΙ ΤΗΛ.: 210-7515995,"Φ2ΓΒ/150645/Δ5/16-10-2013,ΦΕΚ 621/Β/12-3-14","ΤΡΟΠΟΠΟΙΗΣΗ 123238/Ν1/17-09-2020,ΦΕΚ 4356/Β/05-10-2020"
7051091,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΡΕΣΤΕΜΗ ΣΟΥΛΤΑΝΑ,ΡΕΣΤΕΜΗ ΣΟΥΛΤΑΝΑ,ΡΕΣΤΕΜΗ ΣΟΥΛΤΑΝΑ,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΓΕΩΡΓΟΥΛΑ 24 Τ.Κ. 11524 ΑΘΗΝΑ ΤΗΛ.: 210-6927293,"Φ2ΓΒ/26142/Δ5/24-2-2014,ΦΕΚ 545/Β/05-03-2014",
7051095,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΟ ΓΕΛΑΣΤΟ ΠΟΡΤΟΚΑΛΙ,ΠΡΟΣΧΟΛΙΚΗ ΑΓΩΓΗ Σ. ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΚΑΙ ΣΙΑ Ο.Ε.,ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟ ΣΤΕΦΑΝΟ,ΑΓ. ΛΑΥΡΑΣ 54 Τ.Κ. 11141 ΑΘΗΝΑ ΤΗΛ.: 210-2022144 210-2020489,"Φ2ΓΒ/148543/Δ5/14-10-2013,ΦΕΚ 620/Β/12-3-14","ΤΡΟΠΟΠΟΙΗΣΗ 17686/Ν1/17-02-2022, ΦΕΚ 904/Β/01-03-2022, ΤΡΟΠΟΠΟΙΗΣΗ 130744/Ν1/14-11-23, ΦΕΚ 6578/Β/20-11-23"
7051097,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΡΙΖΟΥΛΗ ΕΛΕΝΗ,ΡΙΖΟΥΛΗ ΕΛΕΝΗ,ΡΙΖΟΥΛΗ ΕΛΕΝΗ,ΚΟΡΑΗ 29 Τ.Κ. 16341 ΗΛΙΟΥΠΟΥΛΗ ΤΗΛ.: 210-9936963,"Φ2ΓΒ/150695/Δ5/16-10-2013,ΦΕΚ 659/Β/ 17-3-14",
7051099,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΧΡΙΣΤΙΝΑ Γ. ΠΑΡΛΑΜΕΝΤΗ Ο.Ε. - ΗΛΙΑΧΤΙΔΑ - ΣΤΟΡΓΗ,ΧΡΙΣΤΙΝΑ Γ. ΠΑΡΛΑΜΕΝΤΗ Ο.Ε. ,ΧΡΙΣΤΙΝΑ ΠΑΡΛΑΜΕΝΤΗ,ΑΡΙΣΤΟΜΕΝΟΥΣ 49 Τ.Κ.10440 ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ ΤΗΛ.: 210-8823590,"Φ2ΓΒ/10016/Δ5/24/1/2014,ΦΕΚ 175/Β/30-01-2014",
7051101,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΟ ΚΑΡΑΒΑΚΙ,Α. ΤΣΟΥΚΑΛΑ ΚΑΙ ΣΙΑ ΟΕ,ΤΣΟΥΚΑΛΑ ΑΝΑΣΤΑΣΙΑ,ΑΓΙΟΥ ΜΕΛΕΤΙΟΥ 11 Τ.Κ. 11361 ΑΘΗΝΑ ΤΗΛ.: 210-8212571,"Φ2ΓΒ/195282/Δ5/19-12-2014,ΦΕΚ 402/Β/20-02-2014",
7051103,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ – ΤΑ ΜΠΟΥΜΠΟΥΚΑΚΙΑ,ΚΑΡΑΝΤΖΟΥΝΗ ΠΑΡΑΣΚΕΥΗ,ΚΑΡΑΝΤΖΟΥΝΗ ΠΑΡΑΣΚΕΥΗ,"ΠΡΩΤΟΠΑΠΑΔΑΚΗ 60, ΑΘΗΝΑ ΤΗΛ.: 210-8325036","Φ2ΓΑ/149157/Δ5/14-10-2013,ΦΕΚ 632/Β/13-3-14","112164/Ν1/31-08-2020,ΦΕΚ 3827/Β’/09-09-2020
132256/Ν1/02-10-2020,ΦΕΚ 4450/Β/08-10-2020"
7051105,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,"ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΓΕΩΡΓΑΤΟΥ
ΜΑΡΙΑ - ΕΘΕΛ", ΓΕΩΡΓΑΤΟΥ ΜΑΡΙΑ - ΕΘΕΛ, ΓΕΩΡΓΑΤΟΥ ΜΑΡΙΑ - ΕΘΕΛ,ΑΝΔΡΟΥΤΣΟΥ 4 & ΛΕΩΦΟΡΟΥ ΓΑΛΑΤΣΙΟΥ 115 Τ.Κ. 11146 ΓΑΛΑΤΣΙ ΤΗΛ.: 210-2222662,140341/N1/29-08-2018 (ΦΕΚ 4165/Β/21-09-2018 ),
7051109,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΛΕΟΝΤΕΙΟΣ ΣΧΟΛΗ ΑΘΗΝΩΝ ΔΙΑΜΑΝΤΙΔΕΙΟ ΝΗΠΙΑΓΩΓΕΙΟ,ΛΕΟΝΤΕΙΟΣ ΣΧΟΛΗ ΑΘΗΝΩΝ - ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΚΠΑΙΔΕΥΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΣΚΟΥΡΑ ΑΜΑΛΙΑ,ΝΕΪΓΥ 17 ΑΘΗΝΑ Τ.Κ. 11143 ΤΗΛ.: 210-2012370,"Φ2ΓΒ/172036/Δ5/13-11-2013,ΦΕΚ 450/Β/24-2-14","ΤΡΟΠΟΠΟΙΗΣΗ 94580/Ν1/07-06-2017 (ΦΕΚ 2183/Β/27-06-2017)
145512/Ν1/06-09-2018 ( ΦΕΚ 4083/Β/17-09-2018)
169640/Ν1/15-12-2020,ΦΕΚ 5710/Β'/24-12-2020 , ΔΙΟΡΘΩΣΗ ΣΦΑΛΜΑΤΟΣ ΦΕΚ 656/Β/22-02-2021
51362/Ν1/06-05-2022 , ΦΕΚ 2336/B’/12-5-2022   ΤΡΟΠΟΠΟΙΗΣΗ 103676/Ν1/12-9-2024   ΦΕΚ 5238/Β/17-9-2024, ΤΡΟΠΟΠΟΙΗΣΗ 9869/Ν1/29-1-2025 (ΦΕΚ 484/Β/10-2-2025)"
7051111,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΡΟΔΙ ΕΠΕ,ΣΠ. ΚΑΙ ΕΥΑΓ. ΠΙΤΣΑΚΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΜΑΣΤΡΟΓΙΑΝΝΟΠΟΥΛΟΣ ΣΤΕΦΑΝΟΣ,"ΚΩΝ/ΝΟΥ ΝΙΚΟΛΟΠΟΥΛΟΥ 3 , ΑΘΗΝΑ","169835/Ν1/31-10-2019 , ΦΕΚ 4163/Β/14-11-2019","ΤΡΟΠΟΠΟΙΗΣΗ: 11766/Ν1/3-2-2025, ΦΕΚ 573/Β/13-2-2025"
7051113,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΔΑΝΙΗΛΙΔΟΥ ΠΑΡΑΣΚΕΥΗ - ΕΛΕΝΗ,ΔΑΝΙΗΛΙΔΟΥ ΠΑΡΑΣΚΕΥΗ,ΔΑΝΙΗΛΙΔΟΥ ΠΑΡΑΣΚΕΥΗ,ΦΛΩΡΙΝΗΣ 9 Τ.Κ. 11251 ΑΘΗΝΑ ΤΗΛ.: 210-8628317,"Φ2ΓΒ/47944/Δ5/31-3-2014,ΦΕΚ 925/Β/14-4-14",
7051115,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - DOROTHY SNOT A.Ε.,DOROTHY SNOT ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΙΩΑΝΝΗΣ ΓΙΑΝΝΟΥΔΗΣ,ΚΥΠΡΟΥ 115 Τ.Κ. 11364 ΑΘΗΝΑ ΤΗΛ.: 210-6427594,"Φ2ΓΑ/196590/Δ5/20-12-2013,ΦΕΚ 404/Β/20-02-2014","ΤΡΟΠΟΠΟΙΗΣΗ 165120/Ν1/04-10-2017 ΦΕΚ 3748/Β/24-10-2017
100233/Ν1/28-07-2020 , ΦΕΚ 3720/Β'/07-09-2020
172782/Ν1/21-12-2020 , ΦΕΚ 5985/Β'/31-12-2020,50921/Ν1/17-5-2024 ΦΕΚ 2900/Ν1/22-5-2024"
7051117,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΡΟΣΧΟΛΙΚΗ ΑΓΩΓΗ ΚΟΥΝΙΑΚΗ,ΑΦΟΙ ΚΟΥΝΙΑΚΗ ΚΑΙ ΣΙΑ ΟΕ,ΚΟΥΝΙΑΚΗΣ ΛΕΩΝΙΔΑΣ-ΓΕΩΡΓΙΟΣ,ΑΝΑΠΗΡΩΝ ΠΟΛΕΜΟΥ 64 Τ.Κ. 16233 ΚΑΡΕΑΣ ΤΗΛ.: 210-7657871 210-7660822,"Φ2ΓΑ/26149/Δ5/24-3-2014,ΦΕΚ 545/Β/05-03-2014","105061/Ν1/1-7-2019 , ΦΕΚ 2788/Β/4-7-2019 
59153/Ν1/26-05-2021,ΦΕΚ 2325/Β/02-06-2021"
7051119,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΡΟΒΑΤΑΡΗ ΕΛΕΝΗ,ΠΡΟΒΑΤΑΡΗ ΕΛΕΝΗ,ΠΡΟΒΑΤΑΡΗ ΕΛΕΝΗ,ΤΕΛΑΜΩΝΟΣ 6 Τ.Κ. 11633 ΠΑΓΚΡΑΤΙ ΤΗΛ.: 210-7600827,"Φ2ΓΒ/186349/Δ5/5-12-2013,ΦΕΚ 385/Β/18-2-14",
7051121,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΔΙΟΪΛΗ ΑΘΑΝΑΣΙΑ,ΔΙΟΪΛΗ ΑΘΑΝΑΣΙΑ,ΔΙΟΪΛΗ ΑΘΑΝΑΣΙΑ,ΕΠΙΔΑΥΡΟΥ 5 Τ.Κ. 11147 ΓΑΛΑΤΣΙ ΤΗΛ.: 210-2928335 210-2930401,"Φ2ΓΑ/186392/Δ5/5-12-2013,ΦΕΚ 385/Β/18-2-14",
7051123,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΡΩΤΟΒΑΔΙΣΜΑΤΑ,"ΑΛΕΞΑΝΔΡΑ ΚΑΙ 
ΜΑΡΙΑ ΠΑΠΑΔΟΠΟΥΛΟΥ ΟΕ","ΠΑΠΑΔΟΠΟΥΛΟΥ
 ΜΑΡΙΑ",ΠΑΤΡΩΝ 3-5 Τ.Κ. 10444 ΚΟΛΩΝΟΣ ΤΗΛ.: 210-5143020,"Φ2ΓΒ/37196/Δ5/13-3-2014,ΦΕΚ 759/Β/27-3-14",
7051127,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΑΡΙΑ ΛΟΥΚΑΡΕΑ - ΝΙΚΟΛΑΟΣ ΜΟΥΔΗΛΟΣ ΟΕ,ΙΔΙΩΤΙΚΑ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΜΑΡΙΑ ΛΟΥΚΑΡΕΑ - ΝΙΚΟΛΑΟΣ ΜΟΥΔΗΛΟΣ ΟΕ,ΜΑΡΙΑ ΛΟΥΚΑΡΕΑ,ΜΥΡΩΝΟΣ 38 Τ.Κ. 16341 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210-9961174,"Φ2ΓΒ/103175/Δ5/3-7-2014,ΦΕΚ 1898/Β/14-7-14","ΤΡΟΠΟΠΟΙΗΣΗ 94558/Ν1/7-06-2017 (ΦΕΚ 2135/Β/22-06-2017, ΔΙΟΡΘΩΣΗ: ΦΕΚ  ΤΕΥΧΟΣ Β’ 3710/20.10.2017"
7051129,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - NEUE SCHULE Α.Ε.,ΕΛΛΗΝΟΓΕΡΜΑΝΙΚΗ ΠΑΙΔΕΙΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ,ΜΑΡΙΑ - ΤΕΡΕΖΑ ΜΠΑΟΥΜ,ΝΕΑΡΧΟΥ 52-54 Τ.Κ. 16341 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210-9955997,"Φ2ΓΒ/103182/Δ5/3-7-2014,ΦΕΚ 1866/Β/08-07-2014","ΜΕΤΑΒΙΒΑΣΗ ΚΑΙ ΤΡΟΠΟΠΟΙΗΣΗ 118726/Δ1/19-7-2016, ΦΕΚ 2412/Β/04-08-2016"
7051131,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΡΠΑΤΖΑΝΗ ΜΑΡΙΑ,ΑΡΠΑΤΖΑΝΗ ΜΑΡΙΑ ,ΑΡΠΑΤΖΑΝΗ ΜΑΡΙΑ,ΑΙΓΙΑΛΕΙΑΣ 47 Τ.Κ. 16233 ΒΥΡΩΝΑΣ ΤΗΛ.: 210-7600389 210-7515995,"Φ2ΓΒ/109134/Δ5/14-7-2014,ΦΕΚ 2044/Β/28-07-2014",
7051133,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΑΝΙΔΑ ΜΑΡΙΑ,ΣΑΝΙΔΑ ΜΑΡΙΑ,ΣΑΝΙΔΑ ΜΑΡΙΑ,ΑΔΡΙΑΝΟΥΠΟΛΕΩΣ 52 Τ.Κ. 16121 ΚΑΙΣΑΡΙΑΝΗ ΤΗΛ.: 210-7661022,"Φ2ΓΒ/125086/Δ5/5-8-2014,ΦΕΚ 2239/Β/14-8-14","ΤΡΟΠΟΠΟΙΗΣΗ 131568/Ν1/01-10-2020,ΦΕΚ 4569/Β/16-10-2020
ΤΡΟΠΟΠΟΙΗΣΗ 50603/Ν1/07-05-2021, ΦΕΚ 2053/Β/19-05-2021"
7051137,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,"2Ο ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΧΟΛΗ ΜΕΡΟΠΗ
ΧΑΤΖΗΒΕΗ","ΣΤΥΛΙΑΝΟΣ ΧΑΤΖΗΒΕΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ
ΣΧΟΛΗ ΜΕΡΟΠΗ ΧΑΤΖΗΒΕΗ",ΜΕΡΟΠΗ ΧΑΤΖΗΒΕΗ,ΑΔΑΝΩΝ 15 Τ.Κ. 14341 ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ ΤΗΛ.: 210-2511371 210-2524336,88782/N1/3-6-2019 ΦΕΚ 2156/Β/7-6-2019,"141074/Ν1/04-11-2021,ΦΕΚ 5167/Β/08-11-2021"
7051139,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΑΓΙΑ ΚΑΙ ΜΠΙΛΛΥ,ΚΩΝΣΤΑΝΤΙΝΑ ΚΑΙ ΧΡΗΣΤΟΣ ΠΕΝΙΔΗΣ ΙΚΕ,ΠΕΝΙΔΗΣ ΗΛΙΑΣ - ΠΑΝΑΓΙΩΤΗΣ,ΘΗΣΕΩΣ 11 Τ.Κ.16345 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210-9760786,"Φ2ΓΒ/147675/Δ5/17-9-2014,ΦΕΚ 2569/Β/29-9-14",
7051141,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΕΛΛΗ ΧΑΡΙΚΛΕΙΑ,JOY'S SCHOOL Ε.Ε.,ΣΕΛΛΗΣ ΙΩΑΝΝΗΣ,ΡΕΜΟΥΝΔΟΥ 23 Τ.Κ.10446 ΑΘΗΝΑ ΤΗΛ.: 210-8812910,"Φ2ΓΑ/145745/Δ5/9-10-2013,ΦΕΚ 432/Β/  21-2-14"," ΤΡΟΠΟΠΟΙΗΣΗ 120562/Δ1/28-07-2015 ΦΕΚ 1726/Β/18-08-2015, ΜΕΤΑΒΙΒΑΣΗ 45939/Ν1/29-4-2025 ΦΕΚ 2432/Β/20-5-2025"
7051143,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ- ΑΣΠΙΩΤΗ ΕΥΤΥΧΙΑ,ΕΥΤΥΧΙΑ ΑΣΠΙΩΤΗ,ΕΥΤΥΧΙΑ ΑΣΠΙΩΤΗ,ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ 57 Τ.Κ.16345 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210- 9958267,"213217/Δ1/30-12-2014,ΦΕΚ 3670/Β/31-12-14",79256/Ν1/20-5-2019 ΦΕΚ 2074/Β/4-6-2019
7051145,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΒΑΝΙΛΙΑ ΜΕ ΒΑΤΟΜΟΥΡΟ,ΘΕΟΔΩΡΙΔΟΥ ΣΥΜΕΛΑ-ΝΙΚΟΛΕΤΤΑ,ΘΕΟΔΩΡΙΔΟΥ ΣΥΜΕΛΑ-ΝΙΚΟΛΕΤΤΑ,ΚΕΡΚΥΡΑΣ 135 Τ.Κ. 11663 ΑΘΗΝΑ ΤΗΛ.: 210-8628610,"126946/Δ1/07-8-2015,ΦΕΚ 1851/Β/27-08-2015","150045/Ν1/12-09-2018 ,ΦΕΚ 4405/Β/03-10-2018"
7051149,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΥΛΑΙΑ,ΟΛΓΑ ΜΠΕΝΟΥΚΑ & ΣΙΑ ΟΕ ,ΜΠΕΝΟΥΚΑ ΟΛΓΑ,ΧΑΡΙΛΑΟΥ ΤΡΙΚΟΥΠΗ 9 Τ.Κ. 16346 ΗΛΙΟΥΠΟΛΗ ΤΗΛ.: 210-9943856,"143393/Δ1/6-9-2016,ΦΕΚ 3001/Β/20-09-2016,ΦΕΚ ΔΙΟΡΘΩΣΗΣ 5094/Β/15-11-2018",
7051153,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΔΙΟΝΥΣΗΣ ΓΕΩΡΓΙΟΣ,ΔΙΟΝΥΣΗΣ ΓΕΩΡΓΙΟΣ,ΔΙΟΝΥΣΗΣ ΓΕΩΡΓΙΟΣ,ΛΕΩΦΟΡΟΣ ΓΑΛΑΤΣΙΟΥ 49 Τ.Κ. 11141 ΓΑΛΑΤΣΙ ΤΗΛ.: 210-2015083,"155721/Δ1/22-09-2016,ΦΕΚ 3483/Β/31-10-2016",
7051155,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ -ΛΕΥΚΕΣ ΚΑΡΔΟΥΛΕΣ,ΛΕΥΚΕΣ ΚΑΡΔΟΥΛΕΣ ΙΚΕ,ΑΡΚΑΔΑΚΗΣ ΙΩΑΝΝΗΣ,ΠΕΙΣΙΣΤΡΑΤΟΥΣ 5 Τ.Κ. 10445 ΑΘΗΝΑ ΤΗΛ.: 210-8226523,"108433/Ν1/28-06-2017 ,ΦΕΚ 2500/Β/20-07-2017",
7051157,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΑΧΡΗ ΕΛΕΝΗ,ΚΑΧΡΗ ΕΛΕΝΗ,ΚΑΧΡΗ ΕΛΕΝΗ,ΜΟΜΦΕΡΑΤΟΥ 66 Τ.Κ. 11474 ΓΚΥΖΗ ΤΗΛ.: 210-6444025,"154393/Ν1/18-09-2017,ΦΕΚ 3340/Β/22-9-2017",
7051159,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΑΡΑΜΕΛΑ (2Ο),ΑΘΗΝΑ ΚΛΑΔΗ & ΣΙΑ Ο.Ε.,ΚΑΤΑΚΑΛΟΣ ΔΗΜΗΤΡΙΟΣ,25ΗΣ ΜΑΡΤΙΟΥ 9 Τ.Κ. 14342 ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ ΤΗΛ:. 210-2581204,"171979/Ν1/13-10-2017,ΦΕΚ 3947/Β/10-11-2017",
7051163,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Α΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΕΡΑΦΙΝΟ,ΣΕΡΑΦΙΝΟ Ι.Κ.Ε.,ΣΟΥΛΙΩΤΗ ΓΕΩΡΓΙΑ,"ΚΡΗΤΗΣ 18 , ΥΜΗΤΤΟΣ , Τ.Κ. 17236","196604/Ν1/11-12-2019 , ΦΕΚ 4908/Β΄/31-12-2019",
